EVENTDATE,COUNTRYOFEVENT,fighter1 reach advantage,fighter 1 age advantage,fighter1 height advantage,ROUNDS,FIGHTER1,FIGHTERa,STANCE,DOB,COUNTRY,HEIGHT,WEIGHT,REACH,STRIKES_LANDED,STRIKING_ACCURACY,STRIKES_ABSORBED,STRIKING_DEFENCE,TAKEDOWNS_LANDED,TAKEDOWN_ACCURACY,TAKEDOWN_DEFENCE,SUBMISSION_AVERAGE,KNOCKDOWN_RATIO,AVERAGE_FIGHTTIME,STRIKES_STANDING,CLINCH_STRIKES,GROUND_STRIKES,HEAD_STRIKES,BODY_STRIKES,LEG_STRIKES,FIGHTER1RECENT1,FIGHTER1RECENT2,FIGHTER1RECENT3,FIGHTER1RECENT4,FIGHTER1NUMUFCFIGHTS,FIGHTER1RECENTBONUSES,FIGHTER1WINRECORD,FIGHTER1LOSSRECORD,FIGHTER1LAYOFFTIME,FIGHTER2,FIGHTERb,STANCE2,DOB2,COUNTRY2,HEIGHT2,WEIGHT2,REACH2,STRIKES_LANDED2,STRIKING_ACCURACY2,STRIKES_ABSORBED2,STRIKING_DEFENCE2,TAKEDOWNS_LANDED2,TAKEDOWN_ACCURACY2,TAKEDOWN_DEFENCE2,SUBMISSION_AVERAGE2,KNOCKDOWN_RATIO2,AVERAGE_FIGHTTIME2,STRIKES_STANDING2,CLINCH_STRIKES2,GROUND_STRIKES2,HEAD_STRIKES2,BODY_STRIKES2,LEG_STRIKES2,FIGHTER2RECENT12,FIGHTER2RECENT22,FIGHTER2RECENT32,FIGHTER2RECENT42,FIGHTER2NUMUFCFIGHTS2,FIGHTER2RECENTBONUSES2,FIGHTER2WINRECORD2,FIGHTER2LOSSRECORD2,FIGHTER2LAYOFFTIME2,FIGHTER1OUTCOME,FIGHTER1WIN
1/10/2011, USA,26,9,33,3,Stefan Struve,Stefan Struve,1,1988, Netherlands,213,265,213,3.13,0.47,4,0.46,0.58,0.5,0.55,1.7,0.26,7.51,0.83,0.05,0.12,0.55,0.21,0.24,8,1,1,8,8,0,25,5,5,Pat Barry,Pat Barry,1,1979, USA,180,235,187,2.72,0.52,3.54,0.59,0,0,0.76,0.2,1.74,5.46,0.88,0.04,0.08,0.51,0.06,0.43,8,3,7,1,6,1,6,3,4,2,1
8/10/2016, United Kingdom,26,6,31,3,Stefan Struve,Stefan Struve,1,1988, Netherlands,213,265,213,3.13,0.47,4,0.46,0.58,0.5,0.55,1.7,0.26,7.51,0.83,0.05,0.12,0.55,0.21,0.24,1,6,3,8,17,1,31,8,5,Daniel Omielanczuk,Daniel Omielanczuk,2,1982, Poland,182,247,187,3.09,0.57,3.29,0.47,0.56,0.26,0.68,0.1,0.28,11.55,0.59,0.32,0.09,0.51,0.28,0.21,3,3,1,6,6,0,19,5,3,2,1
23/02/2019, Czech Republic,23,3,28,3,Stefan Struve,Stefan Struve,1,1988, Netherlands,213,265,213,3.13,0.47,4,0.46,0.58,0.5,0.55,1.7,0.26,7.51,0.83,0.05,0.12,0.55,0.21,0.24,6,6,8,2,21,1,32,11,7,Marcos Rogerio de Lima,Marcos Rogerio de Lima,1,1985, Brazil,185,253,190,3.78,0.54,2.63,0.54,0.76,0.6,0.36,0.8,1.41,4.43,0.43,0.13,0.44,0.6,0.17,0.23,3,7,1,7,9,0,16,6,3,2,1
22/07/2018, Germany,15,3,23,3,Stefan Struve,Stefan Struve,1,1988, Netherlands,213,265,213,3.13,0.47,4,0.46,0.58,0.5,0.55,1.7,0.26,7.51,0.83,0.05,0.12,0.55,0.21,0.24,6,8,2,1,20,1,32,10,4,Marcin Tybura,Marcin Tybura,1,1985, Poland,190,249,198,3.32,0.5,2.83,0.53,1.69,0.48,0.82,0.1,0.15,14.38,0.58,0.13,0.29,0.67,0.16,0.17,8,6,3,1,6,1,16,4,5,6,0
3/03/2018, USA,18,9,23,3,Stefan Struve,Stefan Struve,1,1988, Netherlands,213,265,213,3.13,0.47,4,0.46,0.58,0.5,0.55,1.7,0.26,7.51,0.83,0.05,0.12,0.55,0.21,0.24,8,2,1,6,19,2,32,9,6,Andrei Arlovski,Andrei Arlovski,1,1979, Belarus,190,240,195,3.54,0.44,2.69,0.59,0.5,0.36,0.79,0.3,0.62,8.41,0.76,0.18,0.05,0.57,0.17,0.26,3,6,8,7,30,1,26,14,4,6,0
7/12/2019, USA,15,7,20,3,Stefan Struve,Stefan Struve,1,1988, Netherlands,213,265,213,3.13,0.47,4,0.46,0.58,0.5,0.55,1.7,0.26,7.51,0.83,0.05,0.12,0.55,0.21,0.24,2,6,6,8,22,1,33,11,10,Ben Rothwell,Ben Rothwell,1,1981, USA,193,266,198,3.37,0.43,4.44,0.46,0.68,0.33,0.69,0.3,0.37,10.15,0.79,0.08,0.12,0.74,0.13,0.13,6,6,6,2,20,0,36,12,5,8,0
27/04/2019, USA,7,2,20,3,Cory Sandhagen,Cory Sandhagen,3,1992, USA,180,135,177,6.95,0.48,4.08,0.58,1.2,0.5,0.33,0.6,0.6,8.18,0.69,0.07,0.24,0.62,0.17,0.21,2,1,1,0,3,1,10,1,3,John Lineker,John Lineker,1,1990, Brazil,160,136,170,5.36,0.4,4.27,0.56,0.56,0.58,0.67,0.6,1.04,11.33,0.81,0.09,0.11,0.56,0.36,0.09,1,3,6,4,15,0,31,8,11,4,1
9/09/2017, Ca0da,26,3,18,3,Neil Magny,Neil Magny,1,1987, USA,190,170,203,3.96,0.48,2.15,0.56,2.63,0.45,0.59,0.3,0.11,12.02,0.55,0.19,0.26,0.71,0.18,0.12,3,8,1,4,16,2,19,6,9,Rafael Dos Anjos,Rafael Dos Anjos,2,1984,Brazil,172,155,177,3.47,0.45,3.18,0.62,1.82,0.39,0.58,0.6,0.19,13.54,0.68,0.18,0.14,0.56,0.23,0.21,3,6,8,1,22,2,26,9,3,7,0
4/02/2017, USA,16,4,18,3,James Vick,James Vick,1,1987, USA,190,155,193,4.13,0.39,3.31,0.6,0.26,0.33,0.57,0.7,0.55,9.1,0.9,0.07,0.03,0.61,0.25,0.13,8,3,2,3,6,1,9,1,8,Abel Trujillo,Abel Trujillo,1,1983, USA,172,155,177,2.65,0.41,2.31,0.59,2.18,0.45,0.4,0.4,0.44,9.23,0.53,0.23,0.24,0.71,0.22,0.07,3,2,5,7,9,0,15,6,9,2,1
14/12/2012, Australia,10,1,18,3,Seth Baczynski,Seth Baczynski,1,1981, USA,190,170,190,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,0.3,9.09,0.67,0.21,0.12,0.66,0.23,0.11,1,4,2,2,5,0,19,9,3,Mike Pierce,Mike Pierce,1,1980, USA,172,170,180,2.62,0.42,2.36,0.62,3.08,0.42,0.71,0.2,0.33,12.01,0.47,0.31,0.22,0.62,0.19,0.19,1,3,5,4,11,0,15,5,2,6,0
