EVENTDATE,COUNTRY,ROUNDS,FIGHTER1,FIGHTERa,STANCE,DOB,COUNTRY,HEIGHT,WEIGHT,REACH,STRIKES_LANDED,STRIKING_ACCURACY,STRIKES_ABSORBED,STRIKING_DEFENCE,TAKEDOWNS_LANDED,TAKEDOWN_ACCURACY,TAKEDOWN_DEFENCE,SUBMISSION_AVERAGE,KNOCKDOWN_RATIO,AVERAGE_FIGHTTIME,STRIKES_STANDING,CLINCH_STRIKES,GROUND_STRIKES,HEAD_STRIKES,BODY_STRIKES,LEG_STRIKES,FIGHTER1RECENT1,FIGHTER1RECENT2,FIGHTER1RECENT3,FIGHTER1RECENT4,FIGHTER1NUMUFCFIGHTS,FIGHTER1RECENTBONUSES,FIGHTER1WINRECORD,FIGHTER1LOSSRECORD,FIGHTER1LAYOFFTIME,FIGHTER2,FIGHTERb,STANCE2,DOB2,COUNTRY2,HEIGHT2,WEIGHT2,REACH2,STRIKES_LANDED2,STRIKING_ACCURACY2,STRIKES_ABSORBED2,STRIKING_DEFENCE2,TAKEDOWNS_LANDED2,TAKEDOWN_ACCURACY2,TAKEDOWN_DEFENCE2,SUBMISSION_AVERAGE2,KNOCKDOWN_RATIO2,AVERAGE_FIGHTTIME2,STRIKES_STANDING2,CLINCH_STRIKES2,GROUND_STRIKES2,HEAD_STRIKES2,BODY_STRIKES2,LEG_STRIKES2,FIGHTER2RECENT1,FIGHTER2RECENT2,FIGHTER2RECENT3,FIGHTER2RECENT4,FIGHTER2NUMUFCFIGHTS,FIGHTER2RECENTBONUSES,FIGHTER2WINRECORD,FIGHTER2LOSSRECORD,FIGHTER2LAYOFFTIME,FIGHTER1OUTCOMEFORFIGHT,FIGHTER1WIN
4/02/2012, USA,5,Carlos Condit,Carlos Condit,Orthodox,1984, United States,187,170,190,3.56,0.39,2.34,0.57,0.58,0.55,0.36,1.2,0.43,11.38,0.73,0.11,0.15,0.55,0.21,0.24,KO/TKOWIN,KO/TKOWIN,KO/TKOWIN,S-DECWIN,11,1,27,5,7,Nick Diaz,Nick Diaz,Southpaw,1983, United States,185,185,193,5.43,0.42,3.56,0.61,1.32,0.33,0.6,1,0.31,13.03,0.71,0.21,0.08,0.68,0.25,0.08,U-DECWIN,KO/TKOWIN,SUBWIN,U-DECWIN,25,1,26,6,4,U-DECWIN,WINNER-FIGHTER1
4/02/2012, USA,3,Roy Nelson,Roy Nelson,Orthodox,1976, United States,182,263,185,2.18,0.36,4.79,0.46,1.14,0.27,0.65,0.1,0.67,10.4,0.72,0.19,0.09,0.78,0.12,0.1,KO/TKOWIN,U-DECLOSS,U-DECLOSS,KO/TKOWIN,7,0,16,6,4,Fabricio Werdum,Fabricio Werdum,Orthodox,1977, Brazil,193,231,195,3.59,0.52,2.64,0.55,1.75,0.31,0.31,1.2,0.31,11.14,0.76,0.13,0.12,0.64,0.19,0.17,U-DECLOSS,SUBWIN,U-DECWIN,SUBWIN,18,0,14,5,8,U-DECLOSS,WINNER-FIGHTER2
15/02/2012, USA,3,Jonathan Brookins,Jonathan Brookins,Southpaw,1985, United States,182,145,187,2.69,0.39,3.63,0.56,1.94,0.17,0.8,0.3,0,9.02,0.49,0.29,0.22,0.79,0.17,0.03,U-DECLOSS,U-DECWIN,KO/TKOLOSS,NA,3,0,15,8,5,Vagner Rocha,Vagner Rocha,Orthodox,1982, Brazil,177,155,185,2.64,0.42,4.5,0.48,1.4,0.33,0.5,1.9,0,8.03,0.87,0.01,0.12,0.66,0.11,0.24,SUBWIN,U-DECLOSS,U-DECLOSS,NA,3,0,14,2,5,KO/TKOWIN,WINNER-FIGHTER1
15/02/2012, USA,5,Jake Ellenberger,Jake Ellenberger,Orthodox,1985, United States,175,170,180,2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4,0.98,8.03,0.62,0.2,0.18,0.74,0.17,0.09,KO/TKOWIN,KO/TKOWIN,S-DECWIN,KO/TKOWIN,6,0,26,5,5,Diego Sanchez,Diego Sanchez,Southpaw,1981, United States,177,170,182,2.69,0.37,3.02,0.56,1.51,0.24,0.46,0.8,0.24,12.2,0.57,0.11,0.32,0.7,0.24,0.07,U-DECWIN,U-DECWIN,U-DECLOSS,KO/TKOLOSS,19,2,24,4,11,U-DECWIN,WINNER-FIGHTER1
15/02/2012, USA,3,Dave Herman,Dave Herman,Orthodox,1984, United States,193,242,195,4.98,0.6,3.78,0.48,1.49,1,0.58,0,0.54,5.34,0.76,0.11,0.13,0.42,0.27,0.31,KO/TKOWIN,KO/TKOWIN,NA,NA,2,1,22,2,8,Stefan Struve,Stefan Struve,Orthodox,1988, Netherlands,213,265,213,3.13,0.47,4,0.46,0.58,0.5,0.55,1.7,0.26,7.51,0.83,0.05,0.12,0.55,0.21,0.24,SUBWIN,KO/TKOLOSS,KO/TKOWIN,KO/TKOWIN,9,0,26,5,4,KO/TKOLOSS,WINNER-FIGHTER2
25/02/2012, Japan,3,Yushin Okami,Yushin Okami,Southpaw,1981, Japan,187,170,190,2.06,0.38,2.25,0.6,1.98,0.39,0.84,0.5,0.24,12,0.56,0.13,0.31,0.79,0.14,0.07,KO/TKOLOSS,U-DECWIN,S-DECWIN,KO/TKOWIN,16,0,30,8,6,Tim Boetsch,Tim Boetsch,Orthodox,1981, United States,182,185,187,2.93,0.5,2.9,0.57,1.45,0.34,0.59,0.8,0.48,9.02,0.63,0.25,0.12,0.57,0.25,0.17,U-DECWIN,U-DECWIN,SUBLOSS,U-DECWIN,8,0,14,4,5,KO/TKOLOSS,WINNER-FIGHTER2
25/02/2012, Japan,3,Joe Lauzon,Joe Lauzon,Orthodox,1984, United States,177,155,180,2.84,0.39,5.39,0.54,2.39,0.45,0.54,2,0.21,8.08,0.55,0.17,0.28,0.88,0.09,0.02,SUBWIN,SUBWIN,SUBLOSS,SUBWIN,11,1,21,7,4,Anthony Pettis,Anthony Pettis,Orthodox,1987, United States,177,155,182,3.04,0.46,3.52,0.53,0.64,0.52,0.59,1.1,0.37,11.18,0.82,0.09,0.09,0.66,0.2,0.14,S-DECWIN,U-DECLOSS,U-DECWIN,SUBWIN,8,1,14,2,4,KO/TKOLOSS,WINNER-FIGHTER2
25/02/2012, Japan,3,Bart Palaszewski,Bart Palaszewski,Orthodox,1983, Poland,175,145,177,2.67,0.32,3.97,0.57,0.65,0.31,0.53,0.5,0.58,9.27,0.81,0.16,0.03,0.5,0.16,0.34,KO/TKOWIN,S-DECLOSS,KO/TKOWIN,SUBWIN,9,0,36,14,4,Hatsu Hioki,Hatsu Hioki,Orthodox,1983, Japan,180,145,185,2.42,0.42,2.12,0.65,2.55,0.56,0.54,0.6,0,13.36,0.71,0.09,0.21,0.6,0.33,0.07,S-DECWIN,U-DECWIN,NA,NA,2,0,27,5,4,U-DECLOSS,WINNER-FIGHTER2
25/02/2012, Japan,3,Riki Fukuda,Riki Fukuda,Southpaw,1981, Japan,182,185,185,4.24,0.43,3.71,0.64,2.17,0.43,0.7,0,0,15,0.78,0.18,0.04,0.56,0.15,0.29,U-DECLOSS,U-DECWIN,NA,NA,2,0,22,7,12,Steve Cantwell,Steve Cantwell,Orthodox,1986, United States,187,185,190,3.63,0.34,5.76,0.55,0.65,0.3,0.8,0.7,0.33,9.11,0.76,0.18,0.07,0.54,0.32,0.14,U-DECLOSS,U-DECLOSS,U-DECLOSS,U-DECLOSS,9,0,7,5,4,U-DECWIN,WINNER-FIGHTER1
25/02/2012, Japan,3,Yoshihiro Akiyama,Yoshihiro Akiyama,Orthodox,1975, Japan,177,169,190,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1,0,13.05,0.79,0.03,0.18,0.8,0.07,0.13,KO/TKOLOSS,U-DECLOSS,SUBLOSS,S-DECWIN,19,2,13,4,6,Jake Shields,Jake Shields,Orthodox,1979, United States,182,170,182,2.45,0.36,1.8,0.56,2.83,0.29,0.35,1.2,0,15.44,0.71,0.21,0.08,0.38,0.37,0.24,KO/TKOLOSS,U-DECLOSS,S-DECWIN,U-DECWIN,15,0,28,7,5,U-DECLOSS,WINNER-FIGHTER2
